ONS-code,London borough,Proportion with a degree or equivalent
E09000001,City of London,94.20%
E09000013,Hammersmith and Fulham,71.30%
E09000022,Lambeth,70.80%
E09000033,Westminster,67.80%
E09000007,Camden,65.60%
E09000032,Wandsworth,65.30%
E09000027,Richmond upon Thames,64.90%
E09000012,Hackney,63.60%
E09000019,Islington,63%
E09000023,Lewisham,62.10%
E09000021,Kingston upon Thames,61.80%
E09000009,Ealing,60.90%
E09000020,Kensington and Chelsea,60.20%
E09000024,Merton,60.10%
E09000031,Waltham Forest,52.70%
E09000028,Southwark,52.60%
E09000003,Barnet,50.90%
E09000030,Tower Hamlets,50.70%
E09000018,Hounslow,50.60%
E09000011,Greenwich,50.50%
E09000006,Bromley,49.90%
E09000015,Harrow,49.80%
E09000014,Haringey,49.60%
E09000025,Newham,49.10%
E09000029,Sutton,46.70%
E09000005,Brent,45.70%
E09000026,Redbridge,44.90%
E09000010,Enfield,42.40%
E09000017,Hillingdon,42.30%
E09000008,Croydon,40.80%
E09000004,Bexley,34.40%
E09000016,Havering,32.60%
E09000002,Barking and Dagenham,26.20%
,,
,,