Code,Area,Number of Individuals,Mean £,Median £
E09000001,City of London,"9,000","167,000","62,200"
E09000002,Barking and Dagenham,"90,000","31,800","28,000"
E09000003,Barnet,"190,000","59,100","33,500"
E09000004,Bexley,"135,000","38,000","29,300"
E09000005,Brent,"149,000","44,100","30,000"
E09000006,Bromley,"176,000","54,500","35,800"
E09000007,Camden,"108,000","119,000","38,900"
E09000008,Croydon,"192,000","40,900","30,400"
E09000009,Ealing,"178,000","46,800","30,900"
E09000010,Enfield,"142,000","42,800","29,900"
E09000011,Greenwich,"136,000","48,900","31,800"
E09000012,Hackney,"123,000","52,500","34,300"
E09000013,Hammersmith and Fulham,"98,000","83,600","37,000"
E09000014,Haringey,"128,000","57,100","31,300"
E09000015,Harrow,"125,000","46,500","32,300"
E09000016,Havering,"135,000","40,000","29,800"
E09000017,Hillingdon,"144,000","41,600","30,600"
E09000018,Hounslow,"140,000","45,400","29,300"
E09000019,Islington,"110,000","76,600","38,200"
E09000020,Kensington and Chelsea,"68,000","208,000","43,900"
E09000021,Kingston-upon-Thames,"82,000","56,500","35,900"
E09000022,Lambeth,"169,000","56,100","34,500"
E09000023,Lewisham,"149,000","44,800","32,000"
E09000024,Merton,"114,000","63,000","33,900"
E09000025,Newham,"146,000","36,100","28,300"
E09000026,Redbridge,"138,000","42,700","31,200"
E09000027,Richmond-upon-Thames,"104,000","90,400","44,000"
E09000028,Southwark,"156,000","57,800","34,400"
E09000029,Sutton,"102,000","45,200","33,300"
E09000030,Tower Hamlets,"147,000","55,500","35,500"
E09000031,Waltham Forest,"140,000","40,100","30,900"
E09000032,Wandsworth,"182,000","79,700","40,200"
E09000033,Westminster,"102,000","133,000","41,200"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,