Borough,2024 Q2,2023 Q2,avg
Camden,6.6,4,5.3
Hackney,4.5,4.3,4.4
Hammersmith and Fulham,5.7,3.9,4.8
Haringey,5.9,4.4,5.15
Islington,6,4.1,5.05
Kensington and Chelsea,5.6,4.7,5.15
Lambeth,4.5,3.9,4.2
Lewisham,5.5,4.7,5.1
Newham,6.2,4.7,5.45
Southwark,4.8,4.1,4.45
Tower Hamlets,6.2,5.2,5.7
Wandsworth,4.8,2.9,3.85
Westminster,5.7,3.7,4.7
Barking and Dagenham,6.7,5.5,6.1
Barnet,4.8,5.7,5.25
Bexley,4.4,3,3.7
Brent,5.5,7.3,6.4
Bromley,4.8,4,4.4
Croydon,4.8,5.7,5.25
Ealing,4.3,5.8,5.05
Enfield,4.9,5.5,5.2
Greenwich,4.3,4.7,4.5
Harrow,4,5.1,4.55
Havering,3.9,3.5,3.7
Hillingdon,5.5,5.1,5.3
Hounslow,4.8,4.5,4.65
Kingston upon Thames,4.5,2.9,3.7
Merton,3.8,4.2,4
Redbridge,5.7,5.1,5.4
Richmond upon Thames,4.8,3.3,4.05
Sutton,5.2,3.8,4.5
Waltham Forest,3.7,6.6,5.15